D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:16:13,949] Trial 16 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 14816, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1797, 'max_depth': 5.236302014107907}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:16:15,355] Trial 17 finished with value: 0.606422427645135 and parameters: {'criterion': 'entropy', 'min_samples_split': 5970, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 197, 'max_depth': 2.6360288346621843}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:16:18,761] Trial 18 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 20388, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 1216, 'max_depth': 8.054946115604013}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:16:27,487] Trial 19 finished with value: 0.6174574503613804 and parameters: {'criterion': 'gini', 'min_samples_split': 5072, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1642, 'max_depth': 1.055665422388043}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:16:36,759] Trial 20 finished with value: 0.6058682268725937 and parameters: {'criterion': 'gini', 'min_samples_split': 6174, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1632, 'max_depth': 35.20930857905015}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:16:44,661] Trial 21 finished with value: 0.6149156568807224 and parameters: {'criterion': 'gini', 'min_samples_split': 3549, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1971, 'max_depth': 1.1084935385032852}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:16:56,032] Trial 22 finished with value: 0.6092020958178164 and parameters: {'criterion': 'gini', 'min_samples_split': 5273, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1836, 'max_depth': 2.1366234756798232}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:00,890] Trial 23 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 16354, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 1609, 'max_depth': 4.041969521860154}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:06,018] Trial 24 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 11715, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1823, 'max_depth': 1.463221173052291}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:17,381] Trial 25 finished with value: 0.6034066491490073 and parameters: {'criterion': 'gini', 'min_samples_split': 4244, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1887, 'max_depth': 2.0892389587651006}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:20,681] Trial 26 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 8457, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 1290, 'max_depth': 4.084420618977884}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:24,868] Trial 27 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 20670, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1536, 'max_depth': 1.6334890556778032}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:29,456] Trial 28 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 13203, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1705, 'max_depth': 1.0405280740445484}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:41,303] Trial 29 finished with value: 0.6009460166228725 and parameters: {'criterion': 'gini', 'min_samples_split': 3559, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 1953, 'max_depth': 2.0529195169525747}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:42,552] Trial 30 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 19105, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 331, 'max_depth': 6.706822970505808}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:17:51,986] Trial 31 finished with value: 0.6094388047663156 and parameters: {'criterion': 'entropy', 'min_samples_split': 196, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1998, 'max_depth': 1.1794708300590553}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:05,681] Trial 32 finished with value: 0.6065032735338411 and parameters: {'criterion': 'entropy', 'min_samples_split': 3421, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1977, 'max_depth': 3.060673834146427}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:10,937] Trial 33 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7195, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1865, 'max_depth': 1.5329254132012922}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:20,886] Trial 34 finished with value: 0.6157105049244788 and parameters: {'criterion': 'entropy', 'min_samples_split': 2619, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1893, 'max_depth': 1.7201510196488816}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:35,113] Trial 35 finished with value: 0.60332797721444 and parameters: {'criterion': 'gini', 'min_samples_split': 2790, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1741, 'max_depth': 2.7431505001997905}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:39,672] Trial 36 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 10011, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'n_estimators': 1571, 'max_depth': 1.9647363600010603}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:44,766] Trial 37 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7804, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1890, 'max_depth': 10.97705989671847}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:18:48,739] Trial 38 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 12434, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1118, 'max_depth': 4.730478661519711}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:19:20,930] Trial 39 finished with value: 0.6071347914579356 and parameters: {'criterion': 'log_loss', 'min_samples_split': 4348, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1406, 'max_depth': 21.519503266554967}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:19:22,781] Trial 40 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 27192, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'n_estimators': 609, 'max_depth': 1.6812324231648086}. Best is trial 19 with value: 0.6174574503613804.
[I 2023-04-16 08:19:32,171] Trial 41 finished with value: 0.6277000825472442 and parameters: {'criterion': 'entropy', 'min_samples_split': 1878, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1986, 'max_depth': 1.062147505346547}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:19:40,279] Trial 42 finished with value: 0.6125362798288563 and parameters: {'criterion': 'entropy', 'min_samples_split': 2331, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1765, 'max_depth': 1.5428554222081046}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:19:55,865] Trial 43 finished with value: 0.6007067556412535 and parameters: {'criterion': 'entropy', 'min_samples_split': 2325, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1901, 'max_depth': 3.0908106287711923}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:00,255] Trial 44 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6690, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1681, 'max_depth': 1.4114837922843702}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:05,092] Trial 45 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 43118, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1917, 'max_depth': 1.0057411678698682}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:16,167] Trial 46 finished with value: 0.6014230262701878 and parameters: {'criterion': 'entropy', 'min_samples_split': 1804, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1785, 'max_depth': 2.3195468258411753}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:20,189] Trial 47 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 10247, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1488, 'max_depth': 3.4179930745040665}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:25,436] Trial 48 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30665, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1978, 'max_depth': 6.390343798056391}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:30,419] Trial 49 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 36602, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1838, 'max_depth': 1.4970390115617886}. Best is trial 41 with value: 0.6277000825472442.
[I 2023-04-16 08:20:34,954] Trial 50 finished with value: 0.6300843116126958 and parameters: {'criterion': 'entropy', 'min_samples_split': 49, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 923, 'max_depth': 1.032672202952908}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:39,363] Trial 51 finished with value: 0.6296034581624101 and parameters: {'criterion': 'entropy', 'min_samples_split': 292, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 924, 'max_depth': 1.255492356563452}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:43,060] Trial 52 finished with value: 0.6219834023327474 and parameters: {'criterion': 'entropy', 'min_samples_split': 4665, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 723, 'max_depth': 1.0433389546651028}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:48,404] Trial 53 finished with value: 0.5979287258108219 and parameters: {'criterion': 'entropy', 'min_samples_split': 5590, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 822, 'max_depth': 2.3268136643440895}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:52,881] Trial 54 finished with value: 0.6138846039937743 and parameters: {'criterion': 'entropy', 'min_samples_split': 1610, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 939, 'max_depth': 1.2469422371689944}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:55,824] Trial 55 finished with value: 0.6090418848497452 and parameters: {'criterion': 'entropy', 'min_samples_split': 112, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 554, 'max_depth': 1.0259533774615806}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:20:58,164] Trial 56 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7456, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 813, 'max_depth': 1.7820318442696548}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:03,758] Trial 57 finished with value: 0.6057088035690656 and parameters: {'criterion': 'entropy', 'min_samples_split': 5301, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 866, 'max_depth': 2.848133628995906}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:06,727] Trial 58 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 8959, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_estimators': 1069, 'max_depth': 1.3757317205205553}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:13,156] Trial 59 finished with value: 0.6061849625386744 and parameters: {'criterion': 'entropy', 'min_samples_split': 4709, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 645, 'max_depth': 4.969927391146109}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:14,673] Trial 60 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 49902, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 459, 'max_depth': 1.8927030339013318}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:20,965] Trial 61 finished with value: 0.6064225221648802 and parameters: {'criterion': 'gini', 'min_samples_split': 2993, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 996, 'max_depth': 1.0379713964915949}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:27,009] Trial 62 finished with value: 0.6061847104860205 and parameters: {'criterion': 'entropy', 'min_samples_split': 1938, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1177, 'max_depth': 1.3060158804996878}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:30,628] Trial 63 finished with value: 0.622063050971348 and parameters: {'criterion': 'gini', 'min_samples_split': 4085, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 741, 'max_depth': 1.0034528158952558}. Best is trial 50 with value: 0.6300843116126958.
[I 2023-04-16 08:21:34,048] Trial 64 finished with value: 0.6351623849222102 and parameters: {'criterion': 'entropy', 'min_samples_split': 6348, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 750, 'max_depth': 2.485902008065794}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:36,296] Trial 65 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 11407, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 734, 'max_depth': 2.525357094974389}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:38,547] Trial 66 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 14229, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 779, 'max_depth': 1.2363460215728885}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:41,368] Trial 67 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 23239, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 922, 'max_depth': 2.0620858679538205}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:44,267] Trial 68 finished with value: 0.6072955695444777 and parameters: {'criterion': 'gini', 'min_samples_split': 6239, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 484, 'max_depth': 3.710416043700539}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:47,918] Trial 69 finished with value: 0.6297656540451301 and parameters: {'criterion': 'entropy', 'min_samples_split': 4430, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 676, 'max_depth': 1.0171428475600277}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:49,944] Trial 70 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 8545, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 668, 'max_depth': 1.2772359532605677}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:54,114] Trial 71 finished with value: 0.6061844899399486 and parameters: {'criterion': 'entropy', 'min_samples_split': 4680, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 871, 'max_depth': 1.3084033733199436}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:21:57,608] Trial 72 finished with value: 0.6106308247792964 and parameters: {'criterion': 'entropy', 'min_samples_split': 1083, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 709, 'max_depth': 1.0407209072265202}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:02,590] Trial 73 finished with value: 0.6128541812384608 and parameters: {'criterion': 'entropy', 'min_samples_split': 4225, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1007, 'max_depth': 1.82578878754982}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:05,003] Trial 74 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7142, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 585, 'max_depth': 2.366978603834861}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:09,033] Trial 75 finished with value: 0.6169815749510073 and parameters: {'criterion': 'gini', 'min_samples_split': 1220, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 783, 'max_depth': 1.5443536210053508}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:11,751] Trial 76 finished with value: 0.6290494779359408 and parameters: {'criterion': 'entropy', 'min_samples_split': 74, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 507, 'max_depth': 1.8639879603732084}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:13,991] Trial 77 finished with value: 0.6087257478087172 and parameters: {'criterion': 'entropy', 'min_samples_split': 424, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 331, 'max_depth': 2.8341157388909513}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:17,767] Trial 78 finished with value: 0.5572812025432113 and parameters: {'criterion': 'entropy', 'min_samples_split': 3503, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'n_estimators': 529, 'max_depth': 1.8567427923915991}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:19,626] Trial 79 finished with value: 0.5959447248530219 and parameters: {'criterion': 'entropy', 'min_samples_split': 159, 'min_samples_leaf': 1, 'max_features': 'log2', 'n_estimators': 348, 'max_depth': 1.289856024719078}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:22,844] Trial 80 finished with value: 0.5995166260231761 and parameters: {'criterion': 'entropy', 'min_samples_split': 3391, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 410, 'max_depth': 3.410950747343493}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:25,890] Trial 81 finished with value: 0.6042787198245714 and parameters: {'criterion': 'entropy', 'min_samples_split': 5741, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 649, 'max_depth': 1.0286196387392728}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:29,758] Trial 82 finished with value: 0.6094392143518781 and parameters: {'criterion': 'gini', 'min_samples_split': 1386, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 874, 'max_depth': 1.5813137879373231}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:31,788] Trial 83 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 17068, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 686, 'max_depth': 2.140818473881845}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:35,356] Trial 84 finished with value: 0.5984039710895607 and parameters: {'criterion': 'entropy', 'min_samples_split': 2830, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 775, 'max_depth': 1.0046119482868494}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:37,089] Trial 85 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 6598, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 615, 'max_depth': 1.3383315224701422}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:42,622] Trial 86 finished with value: 0.6116618461596628 and parameters: {'criterion': 'gini', 'min_samples_split': 4208, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1300, 'max_depth': 1.5858223502429194}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:45,406] Trial 87 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7744, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1058, 'max_depth': 1.1731721972756897}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:47,695] Trial 88 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 9945, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 739, 'max_depth': 1.828695488489449}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:22:56,991] Trial 89 finished with value: 0.5568050120670207 and parameters: {'criterion': 'entropy', 'min_samples_split': 1729, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_estimators': 911, 'max_depth': 2.476200670837818}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:01,198] Trial 90 finished with value: 0.6169831502800937 and parameters: {'criterion': 'gini', 'min_samples_split': 5196, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 969, 'max_depth': 1.2450615673266734}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:06,319] Trial 91 finished with value: 0.6241290950679598 and parameters: {'criterion': 'gini', 'min_samples_split': 5275, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1112, 'max_depth': 1.4662214325876874}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:10,114] Trial 92 finished with value: 0.6121376270502907 and parameters: {'criterion': 'gini', 'min_samples_split': 2626, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 841, 'max_depth': 1.534992760397413}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:17,761] Trial 93 finished with value: 0.6080904175882342 and parameters: {'criterion': 'gini', 'min_samples_split': 3738, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1334, 'max_depth': 2.1438481843039394}. Best is trial 64 with value: 0.6351623849222102.
